frame_count,yolo_id,track_id,x,y,color,object_type
32,4,50,435,917,yellow,Referee
32,14,50,1763,770,yellow,Referee
33,1,24,220,984,blue,Player
33,2,27,1222,832,blue,Player
33,3,33,770,798,blue,Player
33,4,41,2060,918,blue,Player
33,5,34,1525,828,blue,Player
33,6,28,679,886,blue,Player
33,7,10,379,851,blue,Player
33,8,26,1443,949,blue,Player
33,9,40,1778,801,blue,Player
33,10,31,342,921,blue,Player
33,11,22,1452,810,blue,Player
33,12,48,678,848,blue,Player
33,13,50,2205,1179,blue,Player
33,14,49,351,811,blue,Player
33,15,81,1766,779,blue,Player
33,0,81,440,919,yellow,Referee
34,0,24,225,985,blue,Player
34,2,26,1449,952,blue,Player
34,3,31,350,920,blue,Player
34,4,33,775,801,blue,Player
34,5,10,384,852,blue,Player
34,6,34,1532,828,blue,Player
34,7,41,2068,919,blue,Player
34,8,40,1785,803,blue,Player
34,9,28,684,887,blue,Player
34,10,22,1456,810,blue,Player
34,11,50,2220,1178,blue,Player
34,12,49,357,822,blue,Player
34,13,27,1223,834,blue,Player
34,14,48,682,837,blue,Player
34,15,81,1776,787,blue,Player
34,1,81,447,920,yellow,Referee
35,0,24,228,984,blue,Player
35,1,26,1453,954,blue,Player
35,3,10,388,854,blue,Player
35,4,33,779,800,blue,Player
35,5,31,350,922,blue,Player
35,6,41,2073,895,blue,Player
35,7,81,1784,806,blue,Player
35,8,34,1534,829,blue,Player
35,9,22,1459,817,blue,Player
35,10,28,686,889,blue,Player
35,11,48,685,838,blue,Player
35,12,49,357,820,blue,Player
35,13,50,2230,1181,blue,Player
35,2,50,449,921,yellow,Referee
35,2,1,449,921,yellow,Ball
36,0,24,233,986,blue,Player
36,2,41,2082,922,blue,Player
36,3,28,691,892,blue,Player
36,4,33,784,801,blue,Player
36,5,26,1459,955,blue,Player
36,6,31,354,924,blue,Player
36,7,34,1540,831,blue,Player
36,8,10,392,856,blue,Player
36,9,81,1792,816,blue,Player
36,10,22,1467,818,blue,Player
36,11,50,2246,1187,blue,Player
36,1,50,456,923,yellow,Referee
37,0,24,238,990,blue,Player
37,2,28,697,889,blue,Player
37,3,41,2090,923,blue,Player
37,4,26,1465,957,blue,Player
37,5,10,398,858,blue,Player
37,6,34,1546,832,blue,Player
37,7,27,1230,841,blue,Player
37,8,31,363,926,blue,Player
37,9,81,1799,828,blue,Player
37,10,22,1472,812,blue,Player
37,11,49,371,821,blue,Player
37,12,50,2250,1193,blue,Player
37,1,50,462,925,yellow,Referee
38,0,24,240,990,blue,Player
38,2,28,700,892,blue,Player
38,3,26,1470,960,blue,Player
38,4,41,2094,926,blue,Player
38,5,27,1231,842,blue,Player
38,6,31,366,926,blue,Player
38,7,81,1804,834,blue,Player
38,8,10,401,855,blue,Player
38,9,50,2269,1189,blue,Player
38,10,34,1549,836,blue,Player
38,11,22,1474,815,blue,Player
38,12,49,372,833,blue,Player
38,1,49,466,924,yellow,Referee
39,0,24,245,994,blue,Player
39,2,81,1813,845,blue,Player
39,3,31,369,929,blue,Player
39,4,27,1236,843,blue,Player
39,5,41,2103,929,blue,Player
39,6,33,800,806,blue,Player
39,7,26,1475,963,blue,Player
39,8,10,407,857,blue,Player
39,9,28,704,893,blue,Player
39,10,34,1554,837,blue,Player
39,11,22,1479,814,blue,Player
39,12,50,2281,1191,blue,Player
39,1,50,471,929,yellow,Referee
40,0,33,807,807,blue,Player
40,1,27,1237,844,blue,Player
40,2,24,251,994,blue,Player
40,3,28,709,894,blue,Player
40,5,81,1820,856,blue,Player
40,6,41,2113,932,blue,Player
40,7,26,1480,966,blue,Player
40,8,22,1483,820,blue,Player
40,9,34,1558,839,blue,Player
40,10,31,374,929,blue,Player
40,11,10,412,861,blue,Player
40,12,50,2293,1171,blue,Player
40,13,49,387,833,blue,Player
40,4,49,477,929,yellow,Referee
41,0,24,252,993,blue,Player
